Data_Value,TractFIPS
19.5,17031010100
19.9,17031010201
19.2,17031010202
19.2,17031010300
24.7,17031010400
20.7,17031010501
22.7,17031010502
18.8,17031010503
23.3,17031010600
21.1,17031010701
20.8,17031010702
18.4,17031020100
18.4,17031020200
17.6,17031020301
19.1,17031020302
19.9,17031020400
16.8,17031020500
19.1,17031020601
17.2,17031020602
17.7,17031020701
18.0,17031020702
19.4,17031020801
17.0,17031020802
18.4,17031020901
17.6,17031020902
19.6,17031030101
21.6,17031030102
24.0,17031030103
23.3,17031030104
23.9,17031030200
18.7,17031030300
20.3,17031030400
24.7,17031030500
18.4,17031030601
21.8,17031030603
20.2,17031030604
22.5,17031030701
20.1,17031030702
19.7,17031030703
18.0,17031030706
24.5,17031030800
25.2,17031030900
25.8,17031031000
25.1,17031031100
16.4,17031031200
18.3,17031031300
23.1,17031031400
16.6,17031031501
20.0,17031031502
24.2,17031031700
24.8,17031031800
26.0,17031031900
25.7,17031032100
22.1,17031040100
23.5,17031040201
18.6,17031040202
19.9,17031040300
24.2,17031040401
27.9,17031040402
26.9,17031040600
26.2,17031040700
25.4,17031040800
27.0,17031040900
28.6,17031050100
24.9,17031050200
25.2,17031050300
27.1,17031050500
29.0,17031050600
30.2,17031050700
28.8,17031050800
27.4,17031050900
28.4,17031051000
30.2,17031051100
30.0,17031051200
29.2,17031051300
26.0,17031051400
28.5,17031060100
26.3,17031060200
29.6,17031060300
30.8,17031060400
19.7,17031060500
27.1,17031060800
26.1,17031060900
33.2,17031061000
34.1,17031061100
32.3,17031061200
32.1,17031061500
26.6,17031061800
27.0,17031061901
24.0,17031061902
31.6,17031062000
31.4,17031062100
32.9,17031062200
32.0,17031062300
31.9,17031062400
30.1,17031062500
29.5,17031062600
29.7,17031062700
31.8,17031062800
32.1,17031062900
30.7,17031063000
30.4,17031063100
24.3,17031063200
24.9,17031063301
28.1,17031063302
17.0,17031063303
30.0,17031063400
23.3,17031070101
29.4,17031070102
28.9,17031070103
29.5,17031070200
31.9,17031070300
27.2,17031070400
27.6,17031070500
29.3,17031070600
27.8,17031070700
30.3,17031071000
29.2,17031071100
26.4,17031071200
28.4,17031071300
25.0,17031071400
27.2,17031071500
25.0,17031071600
23.8,17031071700
25.2,17031071800
20.2,17031080100
19.9,17031080201
23.6,17031080202
28.4,17031080300
18.6,17031080400
22.9,17031081000
24.4,17031081100
22.6,17031081201
18.3,17031081202
18.4,17031081300
19.1,17031081401
23.3,17031081402
25.3,17031081403
25.3,17031081500
26.9,17031081600
27.7,17031081700
29.9,17031081800
20.6,17031081900
20.7,17031090100
23.7,17031090200
21.5,17031090300
21.6,17031100100
22.0,17031100200
17.9,17031100300
21.4,17031100400
21.5,17031100500
20.9,17031100600
19.1,17031100700
21.7,17031110100
20.7,17031110200
20.8,17031110300
21.1,17031110400
21.3,17031110501
20.9,17031110502
20.2,17031120100
20.1,17031120200
19.2,17031120300
20.4,17031120400
12.5,17031130100
18.3,17031130200
19.3,17031130300
20.5,17031140100
22.9,17031140200
20.1,17031140301
17.6,17031140302
20.2,17031140400
21.8,17031140500
20.5,17031140601
21.7,17031140602
24.0,17031140701
21.2,17031140702
22.8,17031140800
21.9,17031150200
22.5,17031150300
21.4,17031150401
22.7,17031150402
21.8,17031150501
20.1,17031150502
22.8,17031150600
21.4,17031150700
22.5,17031150800
19.3,17031151001
22.0,17031151002
19.9,17031151100
20.7,17031151200
20.3,17031160100
22.2,17031160200
20.5,17031160300
20.9,17031160400
21.0,17031160501
23.1,17031160502
22.3,17031160601
22.9,17031160602
19.6,17031160700
23.4,17031160800
23.0,17031160900
24.2,17031161000
23.7,17031161100
21.4,17031161200
20.9,17031161300
14.7,17031170100
21.8,17031170200
21.7,17031170300
20.8,17031170400
22.9,17031170500
21.2,17031170600
20.5,17031170700
22.3,17031170800
22.1,17031170900
21.5,17031171000
22.7,17031171100
20.4,17031180100
19.3,17031190100
20.1,17031190200
21.0,17031190300
20.5,17031190401
19.8,17031190402
20.8,17031190601
21.4,17031190602
21.6,17031190701
20.9,17031190702
21.1,17031190800
19.7,17031190900
20.7,17031191000
20.2,17031191100
20.5,17031191200
19.0,17031191301
19.5,17031191302
21.3,17031200100
20.8,17031200200
19.3,17031200300
18.9,17031200401
20.6,17031200402
23.4,17031210100
19.9,17031210400
20.9,17031210501
20.0,17031210502
21.8,17031210601
22.5,17031210602
23.6,17031210700
23.8,17031210800
24.0,17031210900
25.9,17031220300
26.1,17031220400
26.8,17031220500
25.7,17031220601
24.5,17031220602
23.0,17031220701
21.2,17031220702
17.5,17031220901
22.0,17031220902
22.5,17031221000
22.1,17031221100
24.4,17031221200
25.5,17031221300
25.2,17031221400
22.9,17031221500
27.9,17031221600
30.1,17031222200
22.0,17031222500
24.7,17031222600
21.6,17031222700
18.8,17031222800
20.0,17031222900
21.4,17031230100
20.7,17031230200
19.6,17031230300
20.3,17031230400
18.3,17031230500
17.7,17031230600
19.1,17031230700
21.4,17031230800
19.5,17031230900
16.7,17031231100
15.3,17031231200
12.9,17031231500
26.6,17031240200
30.3,17031240300
32.3,17031240500
25.6,17031240600
21.8,17031240700
22.3,17031240800
21.7,17031240900
19.9,17031241000
23.8,17031241100
25.3,17031241200
27.5,17031241300
28.4,17031241400
31.7,17031241500
29.6,17031241600
23.6,17031242000
30.0,17031242100
29.6,17031242200
29.5,17031242300
26.6,17031242400
24.4,17031242500
23.4,17031242600
19.9,17031242700
24.2,17031242800
24.4,17031242900
26.2,17031243000
25.1,17031243100
27.4,17031243200
27.6,17031243300
27.0,17031243400
27.9,17031243500
16.7,17031250200
15.6,17031250300
16.1,17031250400
19.4,17031250500
16.4,17031250600
14.1,17031250700
15.5,17031250800
14.9,17031251000
13.9,17031251100
15.3,17031251200
14.7,17031251300
14.4,17031251400
14.6,17031251500
14.3,17031251600
14.1,17031251700
13.8,17031251800
14.0,17031251900
13.5,17031252000
13.3,17031252101
13.3,17031252102
12.3,17031252201
14.0,17031252202
12.4,17031260100
14.5,17031260200
14.2,17031260300
12.6,17031260400
14.6,17031260500
13.7,17031260600
14.1,17031260700
13.2,17031260800
14.9,17031260900
13.7,17031261000
12.7,17031270500
14.6,17031271200
13.5,17031271300
15.5,17031271400
12.7,17031271500
14.8,17031271800
29.2,17031280100
14.8,17031280400
13.4,17031280800
13.8,17031280900
25.4,17031281900
